id,created_at,slug,des,data
4685,2023-05-09 10:32:06.549422+00,display-cabinet,,"{""type"":""collection"",""handle"":""display-cabinet""}"
4686,2023-05-09 10:32:06.549422+00,cabinets,,"{""type"":""collection"",""handle"":""cabinets""}"
4687,2023-05-09 10:32:06.549422+00,modern-tv-unit,,"{""type"":""collection"",""handle"":""modern-tv-unit""}"
4688,2023-05-09 10:32:06.549422+00,chest-of-drawers,,"{""type"":""collection"",""handle"":""chest-of-drawers""}"
4689,2023-05-09 10:32:06.549422+00,designer-clock,,"{""type"":""collection"",""handle"":""designer-clock""}"
4690,2023-05-09 10:32:06.549422+00,express-delivery,,"{""type"":""collection"",""handle"":""express-delivery""}"
4691,2023-05-09 10:32:06.549422+00,accessories,,"{""type"":""collection"",""handle"":""accessories""}"
4692,2023-05-09 10:32:06.549422+00,storage,,"{""type"":""collection"",""handle"":""storage""}"
4693,2023-05-09 10:32:06.549422+00,lighting,,"{""type"":""collection"",""handle"":""lighting""}"
4694,2023-05-09 10:32:06.549422+00,sofas,,"{""type"":""collection"",""handle"":""sofas""}"
4695,2023-05-09 10:32:06.549422+00,tables,,"{""type"":""collection"",""handle"":""tables""}"
4696,2023-05-09 10:32:06.549422+00,chairs,,"{""type"":""collection"",""handle"":""chairs""}"
4697,2023-05-09 10:32:06.549422+00,sideboards,,"{""type"":""collection"",""handle"":""sideboards""}"
4698,2023-05-09 10:32:06.549422+00,shin-and-tomoko-azumi-furniture,,"{""type"":""collection"",""handle"":""shin-and-tomoko-azumi-furniture""}"
4699,2023-05-09 10:32:06.549422+00,mario-bellini,,"{""type"":""collection"",""handle"":""mario-bellini""}"
4700,2023-05-09 10:32:06.549422+00,louis-weisdorf,,"{""type"":""collection"",""handle"":""louis-weisdorf""}"
4701,2023-05-09 10:32:06.549422+00,bernard-albin-gras,,"{""type"":""collection"",""handle"":""bernard-albin-gras""}"
4702,2023-05-09 10:32:06.549422+00,bernard-schottlander,,"{""type"":""collection"",""handle"":""bernard-schottlander""}"
4703,2023-05-09 10:32:06.549422+00,wilhelm-wagenfeld,,"{""type"":""collection"",""handle"":""wilhelm-wagenfeld""}"
4704,2023-05-09 10:32:06.549422+00,warren-platner,,"{""type"":""collection"",""handle"":""warren-platner""}"
4705,2023-05-09 10:32:06.549422+00,vico-magistretti,,"{""type"":""collection"",""handle"":""vico-magistretti""}"
4706,2023-05-09 10:32:06.549422+00,reproduction-verner-panton-furniture,,"{""type"":""collection"",""handle"":""reproduction-verner-panton-furniture""}"
4707,2023-05-09 10:32:06.549422+00,xavier-pauchard,,"{""type"":""collection"",""handle"":""xavier-pauchard""}"
4708,2023-05-09 10:32:06.549422+00,sori-yanagi,,"{""type"":""collection"",""handle"":""sori-yanagi""}"
4709,2023-05-09 10:32:06.549422+00,sigurd-ressell,,"{""type"":""collection"",""handle"":""sigurd-ressell""}"
4710,2023-05-09 10:32:06.549422+00,serge-mouille,,"{""type"":""collection"",""handle"":""serge-mouille""}"
4711,2023-05-09 10:32:06.549422+00,robert-dudley-best,,"{""type"":""collection"",""handle"":""robert-dudley-best""}"
4712,2023-05-09 10:32:06.549422+00,poul-volther,,"{""type"":""collection"",""handle"":""poul-volther""}"
4713,2023-05-09 10:32:06.549422+00,poul-kjaerholm,,"{""type"":""collection"",""handle"":""poul-kjaerholm""}"
4714,2023-05-09 10:32:06.549422+00,poul-henningsen,,"{""type"":""collection"",""handle"":""poul-henningsen""}"
4715,2023-05-09 10:32:06.549422+00,poul-christiansen,,"{""type"":""collection"",""handle"":""poul-christiansen""}"
4716,2023-05-09 10:32:06.549422+00,philippe-starck,,"{""type"":""collection"",""handle"":""philippe-starck""}"
4717,2023-05-09 10:32:06.549422+00,pierre-paulin,,"{""type"":""collection"",""handle"":""pierre-paulin""}"
4718,2023-05-09 10:32:06.549422+00,paulo-rizzatto,,"{""type"":""collection"",""handle"":""paulo-rizzatto""}"
4719,2023-05-09 10:32:06.549422+00,nicolaj-noddesbo-tommy-hyldahl,,"{""type"":""collection"",""handle"":""nicolaj-noddesbo-tommy-hyldahl""}"
4720,2023-05-09 10:32:06.549422+00,designereditions-furniture,,"{""type"":""collection"",""handle"":""designereditions-furniture""}"
4721,2023-05-09 10:32:06.549422+00,mies-van-der-rohe,,"{""type"":""collection"",""handle"":""mies-van-der-rohe""}"
4722,2023-05-09 10:32:06.549422+00,michael-thonet,,"{""type"":""collection"",""handle"":""michael-thonet""}"
4723,2023-05-09 10:32:06.549422+00,mark-stam,,"{""type"":""collection"",""handle"":""mark-stam""}"
4724,2023-05-09 10:32:06.549422+00,mariano-fortuny-y-madrazo,,"{""type"":""collection"",""handle"":""mariano-fortuny-y-madrazo""}"
4725,2023-05-09 10:32:06.549422+00,marcel-breuer,,"{""type"":""collection"",""handle"":""marcel-breuer""}"
4726,2023-05-09 10:32:06.549422+00,reproduction-le-corbusier-designer-furniture,,"{""type"":""collection"",""handle"":""reproduction-le-corbusier-designer-furniture""}"
4727,2023-05-09 10:32:06.549422+00,kai-kristiansen,,"{""type"":""collection"",""handle"":""kai-kristiansen""}"
4728,2023-05-09 10:32:06.549422+00,jorn-oberg-utzon,,"{""type"":""collection"",""handle"":""jorn-oberg-utzon""}"
4729,2023-05-09 10:32:06.549422+00,juha-ilmari-leiviska,,"{""type"":""collection"",""handle"":""juha-ilmari-leiviska""}"
4730,2023-05-09 10:32:06.549422+00,jo-hammerborg,,"{""type"":""collection"",""handle"":""jo-hammerborg""}"
4731,2023-05-09 10:32:06.549422+00,jens-risom,,"{""type"":""collection"",""handle"":""jens-risom""}"
4732,2023-05-09 10:32:06.549422+00,jean-prouve,,"{""type"":""collection"",""handle"":""jean-prouve""}"
4733,2023-05-09 10:32:06.549422+00,isamu-noguchi-furniture,,"{""type"":""collection"",""handle"":""isamu-noguchi-furniture""}"
4734,2023-05-09 10:32:06.549422+00,reproduction-harry-bertoia-furniture,,"{""type"":""collection"",""handle"":""reproduction-harry-bertoia-furniture""}"
4735,2023-05-09 10:32:06.549422+00,hans-j-wegner-furniture,,"{""type"":""collection"",""handle"":""hans-j-wegner-furniture""}"
4736,2023-05-09 10:32:06.549422+00,greta-grossman,,"{""type"":""collection"",""handle"":""greta-grossman""}"
4737,2023-05-09 10:32:06.549422+00,grant-featherston,,"{""type"":""collection"",""handle"":""grant-featherston""}"
4738,2023-05-09 10:32:06.549422+00,gino-sarfatti,,"{""type"":""collection"",""handle"":""gino-sarfatti""}"
4739,2023-05-09 10:32:06.549422+00,george-nelson,,"{""type"":""collection"",""handle"":""george-nelson""}"
4740,2023-05-09 10:32:06.549422+00,gabriele-and-oscar-buratti,,"{""type"":""collection"",""handle"":""gabriele-and-oscar-buratti""}"
4741,2023-05-09 10:32:06.549422+00,florence-knoll,,"{""type"":""collection"",""handle"":""florence-knoll""}"
4742,2023-05-09 10:32:06.549422+00,finn-juhl,,"{""type"":""collection"",""handle"":""finn-juhl""}"
4743,2023-05-09 10:32:06.549422+00,fabricius-and-kastholm,,"{""type"":""collection"",""handle"":""fabricius-and-kastholm""}"
4744,2023-05-09 10:32:06.549422+00,reproduction-erik-buch-furniture,,"{""type"":""collection"",""handle"":""reproduction-erik-buch-furniture""}"
4745,2023-05-09 10:32:06.549422+00,reproduction-eileen-gray-furniture,,"{""type"":""collection"",""handle"":""reproduction-eileen-gray-furniture""}"
4746,2023-05-09 10:32:06.549422+00,reproduction-eero-saarinen-furniture,,"{""type"":""collection"",""handle"":""reproduction-eero-saarinen-furniture""}"
4747,2023-05-09 10:32:06.549422+00,reproduction-eero-arnio-furniture,,"{""type"":""collection"",""handle"":""reproduction-eero-arnio-furniture""}"
4748,2023-05-09 10:32:06.549422+00,ebbe-gehl-soren-nissen,,"{""type"":""collection"",""handle"":""ebbe-gehl-soren-nissen""}"
4749,2023-05-09 10:32:06.549422+00,draga-laurel,,"{""type"":""collection"",""handle"":""draga-laurel""}"
4750,2023-05-09 10:32:06.549422+00,christian-dell-furniture,,"{""type"":""collection"",""handle"":""christian-dell-furniture""}"
4751,2023-05-09 10:32:06.549422+00,reproduction-charles-eames-furniture,,"{""type"":""collection"",""handle"":""reproduction-charles-eames-furniture""}"
4752,2023-05-09 10:32:06.549422+00,carlo-mollino-furniture,,"{""type"":""collection"",""handle"":""carlo-mollino-furniture""}"
4753,2023-05-09 10:32:06.549422+00,reproduction-borge-mogensen-furniture,,"{""type"":""collection"",""handle"":""reproduction-borge-mogensen-furniture""}"
4754,2023-05-09 10:32:06.549422+00,bertjan-pot,,"{""type"":""collection"",""handle"":""bertjan-pot""}"
4755,2023-05-09 10:32:06.549422+00,reproduction-august-thonet-furniture,,"{""type"":""collection"",""handle"":""reproduction-august-thonet-furniture""}"
4756,2023-05-09 10:32:06.549422+00,arne-jacobsen-reproduction-furniture-designer,,"{""type"":""collection"",""handle"":""arne-jacobsen-reproduction-furniture-designer""}"
4757,2023-05-09 10:32:06.549422+00,anna-castelli-ferrieri-furniture,,"{""type"":""collection"",""handle"":""anna-castelli-ferrieri-furniture""}"
4758,2023-05-09 10:32:06.549422+00,alvar-aalto-furniture,,"{""type"":""collection"",""handle"":""alvar-aalto-furniture""}"
4759,2023-05-09 10:32:06.549422+00,a-and-p-castiglioni,,"{""type"":""collection"",""handle"":""a-and-p-castiglioni""}"
4760,2023-05-09 10:32:06.549422+00,shop-by-type,,"{""type"":""collection"",""handle"":""shop-by-type""}"
4761,2023-05-09 10:32:06.549422+00,pendant-lighting,,"{""type"":""collection"",""handle"":""pendant-lighting""}"
4762,2023-05-09 10:32:06.549422+00,wall-lamps,,"{""type"":""collection"",""handle"":""wall-lamps""}"
